channelName,channelUrl,date,dislikes,duration,id,likes,numberOfSubscribers,title,url,viewCount
Hollyscoop,https://www.youtube.com/channel/UCjZpKJHg5E3e5VlAoixDoOg,Invalid date,12,0:15,#NAME?,193,1460000,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Justin Bieber BREAKS DOWN “Anyone’ Music Video, Inspired More Than Just ‘Rocky’ &amp; ‘Creed’ | </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/tmtl"" dir=""auto"">#TMTL</a>",https://www.youtube.com/watch?v=-Gpb6980VJo,4247
SpreadTheSound,https://www.youtube.com/channel/UCY0rB_2Id2NP_yMxb58rW4w,2009-09-29T00:00:00+00:00,53,4:25,GcCz21K_MZw,3600,958,"Dream Theater - ""Another Day"" [Official Music Video]",https://www.youtube.com/watch?v=GcCz21K_MZw,618529
Best Cover Collection,https://www.youtube.com/channel/UCKHOcnZ2BXbot2ZAt_8TnkQ,2020-07-28T00:00:00+00:00,11000,1:03:57,_pLO4jFDeIc,164000,358000,TOP 40 Songs of 2020 2021 (Best Hit Music Playlist) on Spotify,https://www.youtube.com/watch?v=_pLO4jFDeIc,22438221
Lazada Philippines,https://www.youtube.com/channel/UCL6FFzNVSWXHC-kh66e7z-w,2021-01-20T00:00:00+00:00,58,1:50,IlFYDoqH-UI,14000,235000,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Mimiyuuuh and SB19 - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nasalazadayan"" dir=""auto"">#NasaLazadaYan</a><span dir=""auto"" class=""style-scope yt-formatted-string""> (Official Music Video)</span>",https://www.youtube.com/watch?v=IlFYDoqH-UI,1621521
Lady Gaga,https://www.youtube.com/channel/UCNL1ZadSjHpjm4q9j2sVtOA,2009-11-24T00:00:00+00:00,440000,0:15,qrO4YZeyl0I,5700000,19100000,Lady Gaga - Bad Romance (Official Music Video),https://www.youtube.com/watch?v=qrO4YZeyl0I,1327429095
Major Lazer Official,https://www.youtube.com/channel/UCMJ5Qf3sOvQpcYiai1Noa3Q,2015-03-23T00:00:00+00:00,565000,2:59,YqeW9_5kURI,13000000,13900000,Major Lazer &amp; DJ Snake - Lean On (feat. MØ) (Official Music Video),https://www.youtube.com/watch?v=YqeW9_5kURI,2961408831
Ava Max,https://www.youtube.com/channel/UCOwgc8DswjoBMuuUU2ScPvQ,2020-07-30T00:00:00+00:00,23000,3:16,89S-RbszwJE,930000,4220000,Ava Max - Who's Laughing Now [Official Music Video],https://www.youtube.com/watch?v=89S-RbszwJE,75555808
Pooh Shiesty,https://www.youtube.com/channel/UCTBIIbIs83IBsy4E1BQxYBw,2021-01-02T00:00:00+00:00,12000,3:16,0-Tm65i96TY,281000,281000,Pooh Shiesty - Back In Blood (feat. Lil Durk) [Official Music Video],https://www.youtube.com/watch?v=0-Tm65i96TY,20265829
Ava Max,https://www.youtube.com/channel/UCOwgc8DswjoBMuuUU2ScPvQ,2019-03-07T00:00:00+00:00,44000,3:14,SxGLPVvNjvY,2400000,4220000,Ava Max - So Am I [Official Music Video],https://www.youtube.com/watch?v=SxGLPVvNjvY,175985098
"WKBW TV | Buffalo, NY",https://www.youtube.com/channel/UCfbPQcdF5an7ui8bwwry1Cw,2021-01-19T00:00:00+00:00,0,3:12,tX-93uCRYlo,0,51000,MUSIC MONDAY - ORGAN FAIRCHILD MUSIC VIDEO,https://www.youtube.com/watch?v=tX-93uCRYlo,11
Soothing Relaxation,https://www.youtube.com/channel/UCjzHeG1KWoonmf9d5KBvSiw,2018-04-01T00:00:00+00:00,10000,8:02:32,OeHLHNKQCXA,225000,6660000,"8 Hours of Beautiful Piano Music: Sleep Music, Fall Asleep, Relaxing Music, Sleeping Music",https://www.youtube.com/watch?v=OeHLHNKQCXA,23907149
Lil Nas X,https://www.youtube.com/channel/UC_uMv3bNXwapHl8Dzf2p01Q,2020-11-13T00:00:00+00:00,73000,2:48,9vMLTcftlyI,2600000,11400000,Lil Nas X - HOLIDAY (Official Video),https://www.youtube.com/watch?v=9vMLTcftlyI,103226690
Ed Sheeran,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,2017-11-09T00:00:00+00:00,540000,4:40,2Vv-BfVoq4g,14000000,46600000,Ed Sheeran - Perfect (Official Music Video),https://www.youtube.com/watch?v=2Vv-BfVoq4g,2712038008
Latest Christian Gospel,https://www.youtube.com/channel/UCGYtejwagNGsMP4-Q7WQ_xw,Invalid date,14,2:56,E19Bz_vP7w0,384,0,Best Praise and Worship Songs 2021 - Top 100 Best Christian Gospel Songs Of All Time - Musics Praise,https://www.youtube.com/watch?v=E19Bz_vP7w0,35307
