channelName,channelUrl,date,dislikes,duration,id,likes,numberOfSubscribers,title,url,viewCount
RosyClozy,https://www.youtube.com/channel/UCfhirSFJUXqEjg2z4vD0M-w,2021-01-18T00:00:00+00:00,347,1:30,q8yushfm7nA,83000,1050000,Jake From State Farm | The Music Freaks | Gacha Club Skit,https://www.youtube.com/watch?v=q8yushfm7nA,579871
News 19 WLTX,https://www.youtube.com/channel/UCVaXclURQZlakiTMzuwHvRw,2021-01-20T00:00:00+00:00,1800,0:06,0WsoTmiAXME,6800,102000,Lady Gaga sings national anthem at Joe Biden inauguration: full video,https://www.youtube.com/watch?v=0WsoTmiAXME,369394
RoomieOfficial,https://www.youtube.com/channel/UC9SVhrnsGxWwiBRWT9c7Ozw,2021-01-19T00:00:00+00:00,202,0:06,EVubuJJqGgU,32000,6880000,Great Songs with TERRIBLE Music Videos,https://www.youtube.com/watch?v=EVubuJJqGgU,398497
YN Jay,https://www.youtube.com/channel/UCg1-ABN7Y13Ye36y0Nf0OfA,2021-01-20T00:00:00+00:00,9,2:33,VCNzcbjvMtI,903,130000,"YN Jay - "" Elevator Music "" Ft. Louie Ray &amp; RMC Mike (Ninja Warrior)",https://www.youtube.com/watch?v=VCNzcbjvMtI,12153
Tekno Miles,https://www.youtube.com/channel/UCRlrYo_vSr5OvfvrxliE3Pg,2015-08-13T00:00:00+00:00,14000,0:15,TlJ33-6tPTE,213000,1650000,Teknomiles - Duro (Official Music Video),https://www.youtube.com/watch?v=TlJ33-6tPTE,78760844
PBS NewsHour,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2021-01-20T00:00:00+00:00,5200,3:16,M7Fw2cxQspM,17000,2420000,WATCH: Lady Gaga sings ‘The Star Spangled Banner’ at Biden inauguration,https://www.youtube.com/watch?v=M7Fw2cxQspM,954744
Jason Derulo,https://www.youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q,2020-08-27T00:00:00+00:00,20000,3:24,s0-f5RncxcA,701000,14800000,Jason Derulo - Take You Dancing [Official Music Video],https://www.youtube.com/watch?v=s0-f5RncxcA,68552208
CNBC Television,https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw,2021-01-20T00:00:00+00:00,3000,0:15,FUDSk-jW38g,10000,1270000,Lady Gaga performs the Star-Spangled Banner during Joe Biden's inauguration,https://www.youtube.com/watch?v=FUDSk-jW38g,599743
Frontiers Music srl,https://www.youtube.com/channel/UCBLAoqCQyz6a0OvwXWzKZag,Invalid date,12,5:39,lp-uAQNxG7g,2300,325000,"Ronnie Atkins (Pretty Maids) - ""One Shot"" - Official Music Video",https://www.youtube.com/watch?v=lp-uAQNxG7g,22275
Justin Bieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,2010-02-19T00:00:00+00:00,11000000,0:15,kffacxfA7G4,16000000,60500000,Justin Bieber - Baby (Official Music Video) ft. Ludacris,https://www.youtube.com/watch?v=kffacxfA7G4,2403335983
Piano Relaxing,https://www.youtube.com/channel/UCEiS8m8OLFI0REntmsTvzjA,Invalid date,10,11:54:57,C5OMzFG2hSg,328,0,4K Video - PALAWAN PHILIPINES - Relaxing music along with beautiful nature videos ( 4k Ultra HD ),https://www.youtube.com/watch?v=C5OMzFG2hSg,39217
Blake Shelton,https://www.youtube.com/channel/UC9nxc-xiH1AnL9RGstfgurg,2020-01-21T00:00:00+00:00,15000,0:15,4h9o0Gujuoc,504000,2650000,Blake Shelton - Nobody But You (Duet with Gwen Stefani) (Official Music Video),https://www.youtube.com/watch?v=4h9o0Gujuoc,55395117
discovery plus Norge,https://www.youtube.com/channel/UCYM3pKj9tFQOXc2XcJmj8Vg,2013-09-03T00:00:00+00:00,772000,3:45,jofNR_WkoCE,7500000,2010000,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],https://www.youtube.com/watch?v=jofNR_WkoCE,986156433
BANDMAID,https://www.youtube.com/channel/UCJToUvYrmkmTCR-bluEaQfA,2021-01-20T00:00:00+00:00,78,4:19,9yD3IqrLtPk,21000,358000,BAND-MAID / Warning! (Official Music Video),https://www.youtube.com/watch?v=9yD3IqrLtPk,155086
Flipp Dinero,https://www.youtube.com/channel/UCxbrIP9tyhpzeHycOQaSseQ,2020-02-05T00:00:00+00:00,10000,0:15,Chu-seOvZac,410000,414000,Flipp Dinero - How I Move (Official Music Video) ft. Lil Baby,https://www.youtube.com/watch?v=Chu-seOvZac,43313854
FOX 10 Phoenix,https://www.youtube.com/channel/UCNjfNLnQYbjBEvnS8KFuyGQ,2021-01-20T00:00:00+00:00,99,0:06,yF-kPZ4wGt4,85,10500,Inauguration Day 2021: Jennifer Lopez performs 'This Land is Your Land' and 'America the Beautiful',https://www.youtube.com/watch?v=yF-kPZ4wGt4,6943
CNBC Television,https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw,2021-01-20T00:00:00+00:00,14000,0:15,9QEGv7REuXw,38000,1270000,Jennifer Lopez performs at Joe Biden's inauguration,https://www.youtube.com/watch?v=9QEGv7REuXw,3360005
WORLDSTARHIPHOP,https://www.youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,2021-01-21T00:00:00+00:00,106,2:27,8mWvPvxEnh0,5200,24700000,MTTM DonDon - “Rainy Days” (MO3 Artist) (Official Music Video - WSHH Exclusive),https://www.youtube.com/watch?v=8mWvPvxEnh0,66857
Justin Bieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,2020-10-16T00:00:00+00:00,48000,0:15,xQOO2xGQ1Pc,3100000,60500000,Justin Bieber &amp; benny blanco - Lonely (Official Music Video),https://www.youtube.com/watch?v=xQOO2xGQ1Pc,88233720
PBS NewsHour,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2021-01-20T00:00:00+00:00,2400,3:37,PEAtsgMsWmo,6300,2420000,WATCH: Jennifer Lopez sings ‘This Land Is Your Land’ for Biden inauguration,https://www.youtube.com/watch?v=PEAtsgMsWmo,663647
Inside Edition,https://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w,2021-01-18T00:00:00+00:00,71,1:21,pUGTlWoiuDY,3300,8540000,‘Beatles’ Music Producer Who Murdered Actress Dies at 81,https://www.youtube.com/watch?v=pUGTlWoiuDY,101270
WORLDSTARHIPHOP,https://www.youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,2021-01-19T00:00:00+00:00,106,2:47,doaD2nscmCI,2500,24700000,"O Racks - “Fifty 1 Six"" (Official Music Video - WSHH Exclusive)",https://www.youtube.com/watch?v=doaD2nscmCI,97330
OneRepublic,https://www.youtube.com/channel/UCi4EDAgjULwwNBHOg1aaCig,2013-05-31T00:00:00+00:00,411000,0:15,hT_nvWreIhg,12000000,9060000,OneRepublic - Counting Stars (Official Music Video),https://www.youtube.com/watch?v=hT_nvWreIhg,3174427742
Soothing Relaxation,https://www.youtube.com/channel/UCjzHeG1KWoonmf9d5KBvSiw,2016-07-03T00:00:00+00:00,125000,3:00:22,1ZYbU82GVz4,1500000,6660000,"Relaxing Sleep Music • Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music (Flying)",https://www.youtube.com/watch?v=1ZYbU82GVz4,242795061
DappyTKeys Piano Worship,https://www.youtube.com/channel/UCWbmr_ERQ-gEO3FzRQsxjQw,2021-01-18T00:00:00+00:00,21,6:39,AuIQDur0DZQ,963,640000,HOLY SPIRIT : 2 Hour Prayer Time Music | Christian Meditation Music | Peaceful Instrumental Music,https://www.youtube.com/watch?v=AuIQDur0DZQ,48525
Ariana Grande,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,2018-11-30T00:00:00+00:00,496000,0:15,gl1aHhXnN1k,11000000,46400000,"Ariana Grande - thank u, next (Official Video)",https://www.youtube.com/watch?v=gl1aHhXnN1k,610038509
Ariana Grande,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,2020-05-08T00:00:00+00:00,103000,0:15,pE49WK-oNjU,4100000,46400000,Ariana Grande &amp; Justin Bieber - Stuck with U,https://www.youtube.com/watch?v=pE49WK-oNjU,144392199
Maroon 5,https://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,2015-01-14T00:00:00+00:00,541000,0:15,09R8_2nJtjg,12000000,33000000,Maroon 5 - Sugar (Official Music Video),https://www.youtube.com/watch?v=09R8_2nJtjg,3374599190
Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,2020-12-11T00:00:00+00:00,28000,0:15,RsEZmictANA,1500000,41200000,Taylor Swift - willow (Official Music Video),https://www.youtube.com/watch?v=RsEZmictANA,52384266
Justin Bieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,2015-11-14T00:00:00+00:00,495000,0:15,oyEuk8j8imI,7100000,60500000,Justin Bieber - Love Yourself (Official Music Video),https://www.youtube.com/watch?v=oyEuk8j8imI,1587924805
Season of Mist,https://www.youtube.com/channel/UC5TaZWeRgdN7klKM60Hj6rQ,2021-01-20T00:00:00+00:00,13,9:28,o2PCp5saTWs,589,268000,FUATH - Prophecies (Official Music Video),https://www.youtube.com/watch?v=o2PCp5saTWs,6765
Donald Glover,https://www.youtube.com/channel/UC20LoHy2mX0LQODrkUalxVQ,2018-05-06T00:00:00+00:00,746000,0:15,VYOjWnS4cMY,10000000,5560000,Childish Gambino - This Is America (Official Video),https://www.youtube.com/watch?v=VYOjWnS4cMY,751692795
Michael Jackson,https://www.youtube.com/channel/UC5OrDvL9DscpcAstz7JnQGA,2009-10-03T00:00:00+00:00,260000,0:15,sOnqjkJTMaA,4700000,20100000,Michael Jackson - Thriller (Official Video),https://www.youtube.com/watch?v=sOnqjkJTMaA,722017521
Katy Perry,https://www.youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,2010-10-28T00:00:00+00:00,243000,0:15,QGJuMBdaqIw,5000000,39600000,Katy Perry - Firework (Official Music Video),https://www.youtube.com/watch?v=QGJuMBdaqIw,1285907473
TODAY,https://www.youtube.com/channel/UChDKyKQ59fYz3JO2fl0Z6sg,2021-01-20T00:00:00+00:00,1000,0:15,lboVI0dJR_o,3900,2750000,Garth Brooks Performs ‘Amazing Grace’ On Inauguration Day | TODAY,https://www.youtube.com/watch?v=lboVI0dJR_o,332232
WORLDSTARHIPHOP,https://www.youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,2021-01-20T00:00:00+00:00,141,3:06,SiMDInKE3dA,3000,24700000,Baby Jungle - “4 Real” (Official Music Video - WSHH Exclusive),https://www.youtube.com/watch?v=SiMDInKE3dA,48102
Lyrical Lemonade,https://www.youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA,2020-04-04T00:00:00+00:00,19000,3:19,jFMOb8H3xeQ,471000,16600000,NBA Youngboy - AI Nash (Directed by Cole Bennett),https://www.youtube.com/watch?v=jFMOb8H3xeQ,30068399
Travis Scott,https://www.youtube.com/channel/UCtxdfwb9wfkoGocVUAJ-Bmg,2019-10-04T00:00:00+00:00,10000,0:15,OWl9p3oFKgg,646000,13500000,Travis Scott - HIGHEST IN THE ROOM (Audio),https://www.youtube.com/watch?v=OWl9p3oFKgg,68680812
Marshmello,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,2018-11-14T00:00:00+00:00,97000,3:48,JePnQ1gSagc,2900000,51000000,Marshmello - Together (Official Music Video),https://www.youtube.com/watch?v=JePnQ1gSagc,277550554
PBS NewsHour,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2021-01-20T00:00:00+00:00,157,3:09,nfcWpXadQPY,4700,2420000,WATCH: New Radicals perform ‘You Get What You Give’ in Biden's virtual inaugural parade,https://www.youtube.com/watch?v=nfcWpXadQPY,188351
Baby Fendi,https://www.youtube.com/channel/UCQp1bQ4sFBBYQO7ytU0fH-Q,2019-10-11T00:00:00+00:00,4900,3:13,uTKZnW4W5Gg,123000,241000,Baby Fendi “Pop My Shit” Official Music Video,https://www.youtube.com/watch?v=uTKZnW4W5Gg,9442913
Habana. Music,https://www.youtube.com/channel/UCEepTsC1cUmjyzifzGAPnIw,Invalid date,2,1:19,76Evt7X8g3A,57,0,"Top 30 Guitar Covers Of Popular Songs 2021 - Best Instrumental Relax Music for Work, Study",https://www.youtube.com/watch?v=76Evt7X8g3A,3508
KD Da Kid &amp; Da Gang,https://www.youtube.com/channel/UCigoFBu3HAdZKdMrGrRNtlA,2020-02-01T00:00:00+00:00,2100,2:38,mj3lycmebuk,12000,346000,Kd Da Kid- “Millionaire” (Official music video) Prod. By Deraj Global,https://www.youtube.com/watch?v=mj3lycmebuk,4079272
MIKA,https://www.youtube.com/channel/UCALjQbQhtEeUFi5tSIDFY4Q,2013-04-29T00:00:00+00:00,48000,0:15,nmcdLOjGVzw,1700000,1740000,MIKA - Popular Song ft. Ariana Grande,https://www.youtube.com/watch?v=nmcdLOjGVzw,200081547
Gospel Music,https://www.youtube.com/channel/UCSzhqDxbnuSQZW0Lmw3-RtQ,Invalid date,6,1:44,eVKS5mrINkg,105,0,African Worship Songs 🎶Ghana Gospel Music ➕South African Gospel Music ➕ Kenya Gospel Worship Songs,https://www.youtube.com/watch?v=eVKS5mrINkg,8134
Hollyscoop,https://www.youtube.com/channel/UCjZpKJHg5E3e5VlAoixDoOg,Invalid date,12,1:05:30,HUH45zq73DM,415,1460000,Selena Gomez Hides SECRET Message In Dress For ‘De Una Vez’ Music Video! | The Morning Tea Live!,https://www.youtube.com/watch?v=HUH45zq73DM,6759
Meditation Relax Music,https://www.youtube.com/channel/UCb_kshGodseYhLPcDtxWv5w,2018-06-03T00:00:00+00:00,15000,0:30,lFcSrYw-ARY,211000,2320000,"Beautiful Relaxing Music for Stress Relief ~ Calming Music ~ Meditation, Relaxation, Sleep, Spa",https://www.youtube.com/watch?v=lFcSrYw-ARY,34131909
Hyper - Roblox,https://www.youtube.com/channel/UCtzNUB8NNEyssCGa_JuTbBQ,2021-01-20T00:00:00+00:00,93,15:04,beQtqcX_Z0Y,5500,330000,I Directed A MUSIC VIDEO.. Famous Singer Had An EVIL Secret.. (Roblox Bloxburg),https://www.youtube.com/watch?v=beQtqcX_Z0Y,161168
Ava Max,https://www.youtube.com/channel/UCOwgc8DswjoBMuuUU2ScPvQ,2020-03-27T00:00:00+00:00,44000,2:42,jH1RNk8954Q,1700000,4220000,Ava Max - Kings &amp; Queens [Official Music Video],https://www.youtube.com/watch?v=jH1RNk8954Q,144941570
Wintergatan,https://www.youtube.com/channel/UCcXhhVwCT6_WqjkEniejRJQ,2016-03-02T00:00:00+00:00,62000,0:30,IvUU8joBb1Q,3400000,2150000,Wintergatan - Marble Machine (music instrument using 2000 marbles),https://www.youtube.com/watch?v=IvUU8joBb1Q,168976606
NOW UNITED,https://www.youtube.com/channel/UColnnUYyz7CWjhzpF1kASnw,2021-01-15T00:00:00+00:00,10000,0:15,YR0CKwOE1Ew,531000,6800000,Now United - Lean On Me (Official Music Video),https://www.youtube.com/watch?v=YR0CKwOE1Ew,9745133
Pharrell Williams,https://www.youtube.com/channel/UCNUbNl2U6Hg8J0Zem6hzC2g,2014-01-08T00:00:00+00:00,202000,0:15,ZbZSe6N_BXs,4500000,3070000,Pharrell Williams - Happy (Official Music Video),https://www.youtube.com/watch?v=ZbZSe6N_BXs,743521135
Sidhu Moose Wala,https://www.youtube.com/channel/UC9ChdqQRCaZmTCwSJ49tcbw,2021-01-21T00:00:00+00:00,3200,3:05,oUJbvr8jcyk,171000,6810000,Just a Dream (Full Video) Prem Dhillon | Opi Music | Latest Punjabi Songs 2020/2021,https://www.youtube.com/watch?v=oUJbvr8jcyk,1408663
Christina Perri,https://www.youtube.com/channel/UC2gMECGMn5TVbRN5S5tKb8Q,2011-10-26T00:00:00+00:00,265000,4:48,rtOvBOTyX00,10000000,5720000,Christina Perri - A Thousand Years [Official Music Video],https://www.youtube.com/watch?v=rtOvBOTyX00,1758319890
Sia,https://www.youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ,2020-05-20T00:00:00+00:00,18000,3:29,vnfGni4_RlI,507000,18700000,Sia - Together (from the motion picture Music),https://www.youtube.com/watch?v=vnfGni4_RlI,23596819
Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,2014-08-18T00:00:00+00:00,1000000,0:15,nfWlot6h_JM,10000000,41200000,Taylor Swift - Shake It Off,https://www.youtube.com/watch?v=nfWlot6h_JM,3009912863
iamOTHER,https://www.youtube.com/channel/UCE560wL2ftkMrQL40LYFUVg,2013-11-22T00:00:00+00:00,250000,4:07,y6Sxv-sUYtM,4700000,1800000,Pharrell Williams - Happy (Official Music Video),https://www.youtube.com/watch?v=y6Sxv-sUYtM,1091991394
CBS Los Angeles,https://www.youtube.com/channel/UCkH1uDkyuO9sVjSqdqBygOg,2021-01-17T00:00:00+00:00,7,0:25,INYcHlouzc4,53,624000,"Phil Spector, Famed Music Producer And Murderer, Dies At 81",https://www.youtube.com/watch?v=INYcHlouzc4,5473
Post Malone,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,2019-03-20T00:00:00+00:00,55000,2:38,393C3pr2ioY,2300000,20800000,"Post Malone - ""Wow."" (Official Music Video)",https://www.youtube.com/watch?v=393C3pr2ioY,238652801
Olympic,https://www.youtube.com/channel/UCTl3QQTvqHFjurroKxexy2Q,2021-01-18T00:00:00+00:00,25,0:15,-6AH50g6na4,621,5290000,"Tutya Yilmaz's Powerful Floor Routine to ""Olé"" at Rio 2016 🇹🇷 | Music Monday",https://www.youtube.com/watch?v=-6AH50g6na4,28198
Time Music,https://www.youtube.com/channel/UCudwNYFE5jCpfRdoz6iGwXA,Invalid date,5,0:30,hH1EIEJK0tM,55,548000,Top Songs 2021 ⚡️ Top 40 Pop Songs Playlist 2021 ⚡️ Best English Music Collection 2021,https://www.youtube.com/watch?v=hH1EIEJK0tM,5072
CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2021-01-20T00:00:00+00:00,756,0:30,kr8H2bFzOY8,5600,12000000,"Garth Brooks sings ""Amazing Grace"" at Biden's inaguration",https://www.youtube.com/watch?v=kr8H2bFzOY8,284495
GRM Daily,https://www.youtube.com/channel/UCqTwKvjbTENZDGbz2si47ag,2021-01-16T00:00:00+00:00,964,4:03,H5fw44p9ZDA,51000,3590000,Chip - 10 Commandments [Music Video] | GRM Daily,https://www.youtube.com/watch?v=H5fw44p9ZDA,1145196
CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2021-01-17T00:00:00+00:00,21,0:17,3cJ9h9Z04Kc,364,3440000,"Phil Spector, music producer and murderer, dies at 81",https://www.youtube.com/watch?v=3cJ9h9Z04Kc,43129
Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,2015-05-18T00:00:00+00:00,557000,0:15,QcIy9NiNbmo,7700000,41200000,Taylor Swift - Bad Blood ft. Kendrick Lamar,https://www.youtube.com/watch?v=QcIy9NiNbmo,1409263160
16 WAPT News Jackson,https://www.youtube.com/channel/UCq6jYgbPEh-lttcUsvPCbsg,2021-01-21T00:00:00+00:00,0,0:30,IyeEFQbTV3o,2,23700,Madison composer’s music played during inauguration,https://www.youtube.com/watch?v=IyeEFQbTV3o,60
Cardi B,https://www.youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw,2017-06-24T00:00:00+00:00,635000,3:54,PEGccV-NOm8,6900000,15900000,Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],https://www.youtube.com/watch?v=PEGccV-NOm8,955440146
Super D TV,https://www.youtube.com/channel/UCDa6uYDRfoOM_BolxVwE_hg,2021-01-21T00:00:00+00:00,199,1:45,dmwNbvYOniA,733,0,"<span dir=""auto"" class=""style-scope yt-formatted-string"">QUICK OUTDOOR 94 </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/comedy"" dir=""auto"">#COMEDY</a><span dir=""auto"" class=""style-scope yt-formatted-string""> </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/music"" dir=""auto"">#music</a><span dir=""auto"" class=""style-scope yt-formatted-string""> </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/india"" dir=""auto"">#india</a>",https://www.youtube.com/watch?v=dmwNbvYOniA,437539
Ed Sheeran,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,2017-01-30T00:00:00+00:00,1300000,4:23,JGwWNGJdvx8,25000000,46600000,Ed Sheeran - Shape of You (Official Music Video),https://www.youtube.com/watch?v=JGwWNGJdvx8,5158342444
Big Hit Labels,https://www.youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,2020-02-21T00:00:00+00:00,306000,4:58,gwMa6gpoE9I,11000000,50300000,BTS (방탄소년단) 'ON' Kinetic Manifesto Film : Come Prima,https://www.youtube.com/watch?v=gwMa6gpoE9I,316273109
Official Saweetie,https://www.youtube.com/channel/UC2FCUwThC0RAzaQoI0TtpLA,2021-01-07T00:00:00+00:00,31000,3:22,_xJUCsyMQes,659000,1960000,Saweetie - Best Friend (feat. Doja Cat) [Official Music Video],https://www.youtube.com/watch?v=_xJUCsyMQes,37216074
Bisconni Music,https://www.youtube.com/channel/UC_wpiBkdLY3KShClkhTpkHg,2021-01-15T00:00:00+00:00,25,4:42,lUkJPlXNFHA,1600,12100,Shuja Haider | Dil Bhara Nahi | Bisconni Music Episode 3,https://www.youtube.com/watch?v=lUkJPlXNFHA,2588127
Lil Durk,https://www.youtube.com/channel/UCaxOQZrF5llUMp-JjesUz1A,2020-12-20T00:00:00+00:00,9900,3:32,Ty-CHgmCeKw,323000,2850000,Lil Durk - Backdoor (Official Music Video),https://www.youtube.com/watch?v=Ty-CHgmCeKw,20027939
